Iteration,Best_Fitness,Stagnation_Counter,Total_Load_Shed,Gen_Deviation_Sum,Gen_Rescheduling_Cost,Num_Line_Violations,Max_Line_Violation_Pct,Prob_OOA,Prob_KHA,Prob_SHO,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,B_13,B_14
0,13894370.80999784,0,6.748257979822079,71.46053192092138,595.9808362204843,0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,195.89560504962827,93.65613697054965,-208.81563199020775,-1.304774315625514,-0.9679995703743637,-11.109959373679034,0.0,0.0,-29.5,-8.646906190810773,-3.3787092861841703,-5.676440348128595,-5.25132094516771,-14.9
1,12548806.183711976,0,5.787352265030584,67.61397488626336,563.9005505514365,0,0.0,0.34931972789115645,0.31666666666666665,0.33401360544217684,198.29933642435302,92.21331131061638,-210.35102164030718,-1.3057840124832827,-0.9583876085268921,-10.720371086619638,0.0,0.0,-29.5,-8.528462946418077,-3.3343706001422304,-5.698278975779769,-5.215970864692333,-14.9
2,12453141.197500668,0,5.713518974438533,67.39565975081904,562.0798023218308,0,0.0,0.3681440640772438,0.3008333333333333,0.33102260258942284,198.4454106373712,92.14107038819023,-210.43813495985864,-1.3058077889172768,-0.9613324295897658,-10.692303193066468,0.0,0.0,-29.5,-8.521826666044012,-3.3318014771332747,-5.721120465813904,-5.214154045138109,-14.9
3,12453141.197500668,1,5.713518974438533,67.39565975081904,562.0798023218308,0,0.0,0.3883923230582556,0.28579166666666667,0.3258160102750778,198.4454106373712,92.14107038819023,-210.43813495985864,-1.3058077889172768,-0.9613324295897658,-10.692303193066468,0.0,0.0,-29.5,-8.521826666044012,-3.3318014771332747,-5.721120465813904,-5.214154045138109,-14.9
4,12089977.428202134,0,5.572997441645916,65.16925585396834,543.511593822096,0,0.0,0.40787848198133064,0.2715020833333333,0.32061943468533605,199.62887335219287,91.0981292061612,-210.0814598548849,-1.3046706573389772,-0.9699298285002839,-10.71681467713684,0.0,0.0,-29.5,-8.590067692618106,-3.3386821330647742,-6.1,-5.225377714810178,-14.9
5,12022822.641413115,0,5.505032553119338,65.17735710377954,543.5791582455214,0,0.0,0.42797038784177827,0.2579269791666666,0.31410263299155505,199.65880517155057,91.13616227533011,-210.08545166965445,-1.3026749097088988,-0.9716874186669475,-10.718715932737421,0.0,0.0,-29.499610803620936,-8.593248551782107,-3.337634592415616,-6.09697837318142,-5.292406050584085,-14.896559144528773
6,12022822.641413115,1,5.505032553119338,65.17735710377954,543.5791582455214,0,0.0,0.4396115858179186,0.25402050679457244,0.3063679073875089,199.65880517155057,91.13616227533011,-210.08545166965445,-1.3026749097088988,-0.9716874186669475,-10.718715932737421,0.0,0.0,-29.499610803620936,-8.593248551782107,-3.337634592415616,-6.09697837318142,-5.292406050584085,-14.896559144528773
7,11966331.251725007,0,5.442346832159235,65.23929969989823,544.0957594971512,0,0.0,0.45058821996922055,0.2504409728519774,0.2989708071788021,199.65917673397124,91.19847643386946,-210.1376819996849,-1.302206785455536,-0.9719369666715832,-10.71922560603429,0.0,0.0,-29.5,-8.592452104175244,-3.3379665826922356,-6.097944951397348,-5.298238171729616,-14.9
8,11766093.417807672,0,5.241870710920163,65.24168235324426,544.1156308260571,0,0.0,0.46292708911640096,0.2461386238833511,0.290934287000248,199.7582234679178,91.29990582116204,-210.14017329045922,-1.3018986238394432,-0.9717229434189811,-10.72093169428515,0.0,0.0,-29.5,-8.587628172955325,-3.3357745641217083,-6.1,-5.5,-14.9
9,11708353.339937922,0,5.206449448184731,65.01849636327222,542.2542596696903,0,0.0,0.46878705509962665,0.24861452817464763,0.28259841672572567,199.88752709427155,91.20602345754376,-210.12980850377514,-1.3512245345926763,-0.9716662697341187,-10.72039645753749,0.0,0.0,-29.498592336783688,-8.587232414377656,-3.335632100354915,-6.099708923877305,-5.5,-14.89928901078227
10,11385128.478298292,0,4.399043878275563,69.86026226563999,582.6345872954375,0,0.0,0.47654545016924865,0.24929589867770507,0.27415865115304633,197.87034692804224,94.03060919368222,-209.80095612172443,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
11,11385128.478298292,1,4.399043878275563,69.86026226563999,582.6345872954375,0,0.0,0.48680840468602105,0.2477790762938594,0.26541251902011953,197.87034692804224,94.03060919368222,-209.80095612172443,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
12,11385128.478298292,2,4.399043878275563,69.86026226563999,582.6345872954375,0,0.0,0.4962206918881454,0.24666375405389165,0.25711555405796294,197.87034692804224,94.03060919368222,-209.80095612172443,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
13,11283652.53826277,0,4.450056225759321,68.33539270785931,569.9171751835466,0,0.0,0.5050921827108027,0.24562079833457068,0.24928701895462665,198.60727553319072,93.24266824105003,-209.76386958669866,-1.3992590744339581,-1.0,-11.197191578874648,0.0,0.0,-29.499976886257286,-8.997767965121206,-3.4955727486521666,-6.1,-5.5,-14.896305934202742
14,11199158.23760734,0,4.521096713131755,66.78005789907296,556.9456828782685,0,0.0,0.5097064197461314,0.2488215163807532,0.24147206387311548,199.34942269389762,92.42948059297058,-209.77715872420552,-1.3946422339154172,-1.0,-11.15976296004841,0.0,0.0,-29.499978821834212,-8.968863533776897,-3.4823236154860497,-6.1,-5.499699394645772,-14.896474002955955
15,11037444.971361578,0,4.46144523725952,65.7594483072217,548.433798882229,0,0.0,0.5149564591817001,0.2512717226865986,0.23377181813170142,199.88955322775936,91.94900153498106,-209.81193402937214,-1.3931884271342818,-1.0,-11.2,0.0,0.0,-29.49997307523002,-8.960414787597777,-3.4775272045814596,-6.1,-5.5,-14.895517238824791
16,11037444.971361578,1,4.46144523725952,65.7594483072217,548.433798882229,0,0.0,0.5206107938468206,0.2530359628874835,0.22635324326569592,199.88955322775936,91.94900153498106,-209.81193402937214,-1.3931884271342818,-1.0,-11.2,0.0,0.0,-29.49997307523002,-8.960414787597777,-3.4775272045814596,-6.1,-5.5,-14.895517238824791
17,10998346.270729272,0,4.422862866208379,65.75428505447158,548.3907373542929,0,0.0,0.5257407224067417,0.25486558904297835,0.21939368855027994,199.91142603966003,91.9657110941316,-209.8092174397606,-1.3962599326982892,-0.9997547008486137,-11.2,0.0,0.0,-29.499793931842014,-9.0,-3.4740663100680633,-6.1,-5.498044818574027,-14.9
