Bus No.,P Calc (MW),Q Calc (MVAR)
1,7.967085424687315,47.97788216756223
2,37.925635819944745,-6.408858472238599
3,2.6676055900962226,-17.094433772367168
4,-3.2495769540037855,-11.136737154147625
5,-50.72073514515143,-6.717299169637947
6,8.725127136185051,-9.892713215932769
7,-7.700851925877217,-19.71507460687718
8,4.289807175142489,-5.223586173129924
9,-0.6553131994608787,-19.9244224630986
10,-1.05630231148377,-10.594782959175308
11,17.048845367847406,79.86385530483204
12,-4.8545006789566525,-20.363453227376116
13,18.084757621065606,57.69580373377181
14,4.112357354880047,-11.780045910182757
15,-4.588346322516634,-11.575430704228062
16,-2.018885385142255,-9.217016337167294
17,-5.56881677172596,-10.90044280901985
18,-1.9033438807283254,-5.509986656819166
19,-6.117482318963496,-5.870417433434483
20,1.5147231358994873,-3.451014825289178
21,-12.335741254970657,-11.951020660332823
22,4.361063797715947,0.3258654268083916
23,-0.4094980937505416,-0.31117239685962694
24,-4.458764055739994,-2.7783008668652798
25,1.228364007380811,-0.5473243888679091
26,-0.4985517498895975,-0.1469606156537573
27,0.27337584581106356,-9.282521011249756
28,1.427467911321223,-10.453023279356799
29,0.0,0.0
30,0.0,0.0
