,Bus_2,Bus_3,Bus_4,Bus_5,Bus_6,Bus_7,Bus_8,Bus_9,Bus_10,Bus_11,Bus_12,Bus_13,Bus_14,Bus_15,Bus_16,Bus_17,Bus_18,Bus_19,Bus_20,Bus_21,Bus_22,Bus_23,Bus_24,Bus_25,Bus_26,Bus_27,Bus_28,Bus_29,Bus_30
L1-2,-0.6881794828222982,-0.4091856350175896,-0.5117297348343459,-0.6343788259351243,-0.6007364585422378,-0.6121314539495057,-0.6007364585422353,-0.6007364585422422,-0.6007364585422429,-0.6007364585422429,-0.600736458542244,-0.6007364585422428,-0.6007364585422449,-0.6007364585422422,-0.6007364585422434,-0.6007364585422433,-0.6007364585422439,-0.6007364585422419,-0.6007364585422418,-0.6007364585422433,-0.6007364585422428,-0.6007364585422437,-0.6007364585422434,-0.6007364585422436,-0.6007364585422422,-0.600736458542241,-0.6007364585422403,0.0,0.0
L1-3,-0.1424223608566061,-0.3787127404613339,-0.22301484370043292,-0.16699552441511908,-0.18236149658483974,-0.17715689310799893,-0.18236149658483877,-0.1823614965848409,-0.18236149658484122,-0.18236149658484122,-0.1823614965848414,-0.18236149658484174,-0.18236149658484127,-0.1823614965848417,-0.18236149658484144,-0.1823614965848413,-0.18236149658484116,-0.18236149658484102,-0.18236149658484097,-0.1823614965848413,-0.18236149658484113,-0.18236149658484135,-0.18236149658484133,-0.18236149658484144,-0.18236149658484122,-0.1823614965848405,-0.1823614965848403,0.0,0.0
L1-4,-0.1693981563210989,-0.21210162452107983,-0.2652554214652244,-0.198625649649762,-0.2169020448729302,-0.21071165294250227,-0.21690204487292936,-0.21690204487293188,-0.2169020448729322,-0.2169020448729322,-0.21690204487293255,-0.21690204487293238,-0.21690204487293266,-0.21690204487293224,-0.21690204487293235,-0.2169020448729323,-0.21690204487293238,-0.21690204487293188,-0.21690204487293183,-0.2169020448729323,-0.2169020448729321,-0.21690204487293244,-0.21690204487293235,-0.21690204487293244,-0.216902044872932,-0.21690204487293138,-0.21690204487293116,0.0,0.0
L2-4,0.26770080499491494,-0.3512896613667589,-0.4393247217819151,0.052124199132084124,-0.08267912475591822,-0.037019934406756175,-0.08267912475591803,-0.08267912475591914,-0.0826791247559195,-0.0826791247559195,-0.0826791247559195,-0.0826791247559206,-0.08267912475591876,-0.08267912475592078,-0.0826791247559195,-0.0826791247559195,-0.08267912475591895,-0.08267912475591968,-0.08267912475591968,-0.0826791247559195,-0.08267912475591932,-0.0826791247559195,-0.0826791247559195,-0.08267912475591968,-0.08267912475591968,-0.08267912475591876,-0.08267912475591876,0.0,0.0
L2-5,0.01560029133137935,-0.02047144034224057,-0.02560169234084091,-0.49143699021128895,-0.18317991966812658,-0.2875895725940365,-0.18317991966812588,-0.18317991966812766,-0.1831799196681278,-0.18317991966812797,-0.1831799196681279,-0.18317991966812827,-0.18317991966812766,-0.18317991966812816,-0.18317991966812797,-0.1831799196681279,-0.18317991966812752,-0.1831799196681273,-0.18317991966812738,-0.1831799196681279,-0.18317991966812772,-0.1831799196681278,-0.18317991966812797,-0.18317991966812813,-0.18317991966812752,-0.18317991966812738,-0.1831799196681272,0.0,0.0
L2-6,0.028519420851409696,-0.03742453330858859,-0.04680332071158845,-0.19506603485591856,-0.3348774141181917,-0.28752194694871214,-0.3348774141181907,-0.3348774141181948,-0.3348774141181951,-0.33487741411819516,-0.33487741411819544,-0.3348774141181958,-0.3348774141181952,-0.3348774141181957,-0.3348774141181954,-0.3348774141181954,-0.334877414118195,-0.33487741411819466,-0.33487741411819477,-0.3348774141181954,-0.33487741411819505,-0.3348774141181954,-0.3348774141181954,-0.3348774141181955,-0.3348774141181947,-0.33487741411819416,-0.33487741411819366,0.0,0.0
L3-4,-0.14242236085660742,0.6212872595386666,-0.2230148437004337,-0.16699552441512047,-0.18236149658484163,-0.17715689310800045,-0.18236149658484205,-0.18236149658484405,-0.18236149658484413,-0.1823614965848442,-0.18236149658484488,-0.18236149658484288,-0.182361496584846,-0.18236149658484246,-0.18236149658484396,-0.18236149658484438,-0.1823614965848452,-0.18236149658484363,-0.1823614965848437,-0.18236149658484438,-0.1823614965848442,-0.18236149658484463,-0.18236149658484438,-0.1823614965848443,-0.18236149658484338,-0.1823614965848437,-0.18236149658484346,0.0,0.0
L4-6,-0.04411971218279092,0.057895973650827534,0.07240501305242708,-0.3134969749327968,-0.4819426662136888,-0.42488848045725763,-0.4819426662136873,-0.48194266621369325,-0.48194266621369347,-0.48194266621369364,-0.481942666213694,-0.48194266621369425,-0.48194266621369397,-0.481942666213694,-0.48194266621369397,-0.4819426662136939,-0.4819426662136935,-0.48194266621369275,-0.48194266621369297,-0.4819426662136939,-0.48194266621369347,-0.48194266621369397,-0.48194266621369397,-0.4819426662136941,-0.48194266621369286,-0.4819426662136923,-0.4819426662136916,0.0,0.0
L5-7,0.015600291331379428,-0.02047144034224054,-0.02560169234084075,0.5085630097887116,-0.18317991966812613,-0.28758957259403556,-0.18317991966812613,-0.18317991966812935,-0.1831799196681297,-0.18317991966812952,-0.18317991966813005,-0.18317991966813038,-0.18317991966812988,-0.18317991966813055,-0.18317991966812988,-0.18317991966812988,-0.18317991966813005,-0.18317991966813005,-0.18317991966812988,-0.18317991966812988,-0.18317991966812988,-0.18317991966813055,-0.18317991966813005,-0.1831799196681297,-0.1831799196681297,-0.18317991966812852,-0.1831799196681282,0.0,0.0
L6-7,-0.015600291331378371,0.02047144034224142,0.025601692340841663,-0.5085630097887094,0.1831799196681276,-0.712410427405962,0.1831799196681266,0.18317991966812924,0.1831799196681289,0.1831799196681289,0.18317991966812924,0.1831799196681286,0.1831799196681299,0.18317991966812827,0.18317991966812924,0.18317991966812924,0.18317991966812924,0.1831799196681289,0.18317991966812924,0.18317991966812924,0.1831799196681289,0.1831799196681286,0.1831799196681289,0.18317991966812924,0.1831799196681286,0.18317991966812924,0.1831799196681289,0.0,0.0
